age,years_employed,credit_score,credit_history_years,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,annual_income_log,current_debt_log,savings_assets_log,occupation_status_Self-Employed,occupation_status_Student,product_type_Line of Credit,product_type_Personal Loan,loan_intent_Debt Consolidation,loan_intent_Education,loan_intent_Home Improvement,loan_intent_Medical,loan_intent_Personal,loan_status
22,2.3,555,0.3,0,1,1,1400,22.45,0.068,0.079,0.026,9.788469440951861,7.094234845924755,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30,1.1,629,7.2,0,0,0,1300,14.4,0.351,0.06,0.02,9.982391150131594,8.935640333747571,8.039157390473237,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
29,9.7,577,0.6,1,1,1,100000,15.86,0.062,1.411,0.47,11.168757693531585,8.381144346952961,3.784189633918261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
45,10.0,590,24.6,0,1,0,32600,14.73,0.136,0.567,0.189,10.959609789583286,8.965590066907914,7.703007682479236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32,3.4,693,12.0,0,0,0,25800,17.33,0.017,0.884,0.295,10.281512944885511,6.218600119691729,8.676757761087575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
61,9.0,605,21.0,0,1,0,12500,14.38,0.407,0.36,0.12,10.454062595819401,9.555276687009526,8.513385953073284,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
41,10.0,680,3.5,0,0,0,21000,12.89,0.258,0.827,0.276,10.141716741268379,8.788440957404594,7.60339933974067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
37,1.4,659,16.0,0,0,0,3200,17.34,0.48,0.099,0.033,10.378789620233071,9.644911105223,8.09346227450118,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,22.8,706,21.8,0,0,0,2700,17.45,0.08,0.048,0.016,10.927843140042187,8.405814603432848,7.516433302915632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
53,16.5,706,20.6,0,0,0,2600,9.57,0.261,0.028,0.009,11.451507403463758,10.108874382261078,8.424419791263883,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
